sample	edge	core	pre_post	seds	salt	mass_diff	depth	d18O	dD	d_xs
A1	N	2-A	pre	NA	NA	NA	-2	-13.07398	-86.97208	17.61976
A2	N	2-A	pre	NA	NA	NA	-4	-13.16119	-87.60967	17.67985
A3	N	2-A	pre	NA	NA	NA	-6	-12.7977	-85.23496	17.14664
A4	N	2-A	pre	NA	NA	NA	-7.25	-12.70683	-84.4748	17.17984
A5	N	2-A	pre	NA	NA	NA	-9.5	-12.50877	-83.15384	16.91632
A6	N	2-A	pre	NA	NA	NA	-10.5	-12.58001	-83.66061	16.97947
A7	N	2-A	pre	NA	NA	NA	-13	-12.31871	-81.82463	16.72505
A8	N	2-A	pre	NA	NA	NA	-14.5	-11.99782	-79.73132	16.25124
A9	N	2-A	pre	NA	NA	NA	-15.5	-11.97452	-79.64565	16.15051
A10	N	2-A	pre	NA	NA	NA	-17.5	-10.99356	-73.04148	14.907
A11	N	2-A	pre	NA	NA	NA	-18.5	-9.8748	-66.80075	12.19765
A12	N	2-A	pre	NA	NA	NA	-20.5	-9.55358	-63.96903	12.45961
A13	N	2-A	pre	NA	NA	NA	-22	-9.56057	-63.79439	12.69017
A14	N	2-A	pre	NA	NA	NA	-24	-9.18543	-61.16861	12.31483
A15	N	2-A	pre	NA	NA	NA	-26	-9.19642	-61.06119	12.51017
A16	N	2-A	pre	NA	NA	NA	-27	-8.72275	-57.86208	11.91992
A17	N	2-A	pre	NA	NA	NA	-28.5	-8.37024	-55.44157	11.52035
A18	Y	2-A	pre	NA	NA	NA	-4	-8.9907	-59.56757	12.35803
A19	Y	2-A	pre	NA	NA	NA	-15	-8.19182	-54.11994	11.41462
A20	Y	2-A	pre	NA	NA	NA	-27.25	-8.50306	-56.33188	11.6926
A21	N	2-B	pre	NA	NA	NA	-5.5	-12.91154	-85.59247	17.69985
A22	N	2-B	pre	NA	NA	NA	-10	-12.33701	-81.98279	16.71329
A24	N	2-B	pre	NA	NA	NA	-14.5	-11.82373	-78.8163	15.77354
A25	N	2-B	pre	NA	NA	NA	-20	-9.31259	-63.29685	11.20387
A23	N	2-B	pre	NA	NA	NA	-25.5	-8.93112	-59.29211	12.15685
B1	N	3-A	pre	NA	NA	NA	-3.5	-11.96233	-79.43784	16.2608
B2	N	3-A	pre	NA	NA	NA	-4	-12.25165	-81.22177	16.79143
B3	N	3-A	pre	NA	NA	NA	-5.5	-11.47	-76.26641	15.49359
B4	N	3-A	pre	NA	NA	NA	-7.5	-11.93424	-79.3259	16.14802
B5	N	3-A	pre	NA	NA	NA	-9.5	-11.43923	-75.86232	15.65152
B6	N	3-A	pre	NA	NA	NA	-12	-11.76433	-77.9474	16.16724
B7	N	3-A	pre	NA	NA	NA	-13	-11.63824	-77.32511	15.78081
B8	N	3-A	pre	NA	NA	NA	-15	-11.3215	-76.46262	14.10938
B9	N	3-A	pre	NA	NA	NA	-17	-11.63957	-77.31678	15.79978
B10	N	3-A	pre	NA	NA	NA	-19	-11.66533	-77.43704	15.8856
B11	N	3-A	pre	NA	NA	NA	-21	-11.50412	-76.36668	15.66628
B12	N	3-A	pre	NA	NA	NA	-22.5	-10.18097	-67.46103	13.98673
B13	N	3-A	pre	NA	NA	NA	-23.5	-8.25343	-56.46696	9.56048
B14	N	3-A	pre	NA	NA	NA	-25	-8.80196	-58.14562	12.27006
B15	Y	3-A	pre	NA	NA	NA	-3	-9.42072	-62.25915	13.10661
B16	Y	3-A	pre	NA	NA	NA	-5.5	-8.16012	-53.61401	11.66695
B17	Y	3-A	pre	NA	NA	NA	-8.5	-8.09356	-52.93841	11.81007
B18	Y	3-A	pre	NA	NA	NA	-10.5	-8.09924	-52.9041	11.88982
B19	Y	3-A	pre	NA	NA	NA	-12.625	-8.18386	-53.53805	11.93283
B20	Y	3-A	pre	NA	NA	NA	-14.625	-8.11396	-53.33118	11.5805
B21	Y	3-A	pre	NA	NA	NA	-16.5	-8.19624	-53.96846	11.60146
B22	Y	3-A	pre	NA	NA	NA	-18.5	-8.32401	-54.72734	11.86474
B23	Y	3-A	pre	NA	NA	NA	-20.5	-8.24006	-54.17634	11.74414
B24	Y	3-A	pre	NA	NA	NA	-22.25	-8.27718	-54.26795	11.94949
B25	Y	3-A	pre	NA	NA	NA	-24	-9.1274	-60.5735	12.4457
C1	N	BULK	BULK2_3	NA	NA	NA	0	-9.59486	-64.97631	11.78257
C2	N	BULK	BULK2	NA	NA	NA	0	-9.5386	-63.83657	12.47223
C3	N	BULK	BULK3	NA	NA	NA	0	-9.21539	-61.37817	12.34495
